in-rho_O,in-rho_O2,in-Th,in-Tv,in-t,out-Y_O,out-Y_O2,out-Th,out-Tv
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,0.0000000000E+00,9.4045111746E-02,9.0595488825E-01,3.1863097000E+03,1.0718736700E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.0000000000E-13,9.4045111732E-02,9.0595488827E-01,3.1863092579E+03,1.0718754558E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.0100000000E-13,9.4045111719E-02,9.0595488828E-01,3.1863088115E+03,1.0718772594E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.0301000000E-13,9.4045111706E-02,9.0595488829E-01,3.1863083606E+03,1.0718790811E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,4.0604010000E-13,9.4045111693E-02,9.0595488831E-01,3.1863079051E+03,1.0718809210E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,5.1010050100E-13,9.4045111679E-02,9.0595488832E-01,3.1863074451E+03,1.0718827792E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,6.1520150601E-13,9.4045111665E-02,9.0595488833E-01,3.1863069805E+03,1.0718846561E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,7.2135352107E-13,9.4045111652E-02,9.0595488835E-01,3.1863065113E+03,1.0718865517E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,8.2856705628E-13,9.4045111638E-02,9.0595488836E-01,3.1863060374E+03,1.0718884663E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,9.3685272684E-13,9.4045111624E-02,9.0595488838E-01,3.1863055587E+03,1.0718904000E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.0462212541E-12,9.4045111609E-02,9.0595488839E-01,3.1863050752E+03,1.0718923530E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.1566834666E-12,9.4045111595E-02,9.0595488841E-01,3.1863045870E+03,1.0718943256E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.2682503013E-12,9.4045111580E-02,9.0595488842E-01,3.1863040938E+03,1.0718963179E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.3809328043E-12,9.4045111566E-02,9.0595488843E-01,3.1863035957E+03,1.0718983301E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.4947421324E-12,9.4045111551E-02,9.0595488845E-01,3.1863030926E+03,1.0719003624E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.6096895537E-12,9.4045111536E-02,9.0595488846E-01,3.1863025845E+03,1.0719024150E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.7257864492E-12,9.4045111521E-02,9.0595488848E-01,3.1863020713E+03,1.0719044882E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.8430443137E-12,9.4045111506E-02,9.0595488849E-01,3.1863015530E+03,1.0719065821E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.9614747569E-12,9.4045111490E-02,9.0595488851E-01,3.1863010295E+03,1.0719086969E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.0810895044E-12,9.4045111475E-02,9.0595488853E-01,3.1863005007E+03,1.0719108329E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.2019003995E-12,9.4045111459E-02,9.0595488854E-01,3.1862999667E+03,1.0719129902E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.3239194035E-12,9.4045111443E-02,9.0595488856E-01,3.1862994273E+03,1.0719151691E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.4471585975E-12,9.4045111427E-02,9.0595488857E-01,3.1862988826E+03,1.0719173697E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.5716301835E-12,9.4045111411E-02,9.0595488859E-01,3.1862983324E+03,1.0719195924E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.6973464853E-12,9.4045111394E-02,9.0595488861E-01,3.1862977767E+03,1.0719218373E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.8243199502E-12,9.4045111378E-02,9.0595488862E-01,3.1862972154E+03,1.0719241046E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.9525631497E-12,9.4045111361E-02,9.0595488864E-01,3.1862966485E+03,1.0719263946E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.0820887812E-12,9.4045111345E-02,9.0595488866E-01,3.1862960760E+03,1.0719287075E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.2129096690E-12,9.4045111327E-02,9.0595488867E-01,3.1862954977E+03,1.0719310435E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.3450387657E-12,9.4045111310E-02,9.0595488869E-01,3.1862949137E+03,1.0719334028E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.4784891533E-12,9.4045111293E-02,9.0595488871E-01,3.1862943238E+03,1.0719357858E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.6132740449E-12,9.4045111275E-02,9.0595488872E-01,3.1862937280E+03,1.0719381925E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.7494067853E-12,9.4045111257E-02,9.0595488874E-01,3.1862931263E+03,1.0719406234E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.8869008532E-12,9.4045111239E-02,9.0595488876E-01,3.1862925185E+03,1.0719430785E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,4.0257698617E-12,9.4045111221E-02,9.0595488878E-01,3.1862919047E+03,1.0719455582E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,4.1660275603E-12,9.4045111203E-02,9.0595488880E-01,3.1862912847E+03,1.0719480626E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,4.3076878359E-12,9.4045111185E-02,9.0595488882E-01,3.1862906585E+03,1.0719505921E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,4.4507647143E-12,9.4045111166E-02,9.0595488883E-01,3.1862900261E+03,1.0719531469E+03
